UID,פיילוט,dateTimeCreate,shem_mishpacha_talmid,shem_male_talmid,mosad.code,mosad.teur,kita.code,kita.teur,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9
STU0001,פיילוט ג,2025-01-30 14:02:00,כהן,מיכל,1002,בית ספר ריאלי חיפה,ט1,כיתה ט׳1,2,1,2,3,2,5,3,4,1
STU0002,פיילוט ג,2024-12-24 17:17:00,כהן,דוד,1004,בית ספר דה שליט רחובות,ט2,כיתה ט׳2,1,2,1,3,2,4,2,2,1
STU0003,פיילוט ב,2024-11-07 08:46:00,זיו,יונתן,1007,תיכון מקיף גבעתיים,י1,כיתה י׳1,3,4,4,3,5,2,4,5,5
STU0004,פיילוט א,2025-02-17 11:49:00,גרוס,מיכל,1002,בית ספר ריאלי חיפה,י2,כיתה י׳2,3,3,4,2,4,3,3,2,1
STU0005,פיילוט א,2024-11-08 09:38:00,אברהם,יונתן,1004,בית ספר דה שליט רחובות,יב1,כיתה יב׳1,3,2,4,2,2,4,2,2,3
STU0006,פיילוט ב,2024-09-09 13:25:00,דהן,מיכל,1004,בית ספר דה שליט רחובות,ט2,כיתה ט׳2,3,3,4,3,2,5,2,2,1
STU0007,פיילוט ג,2024-11-03 16:34:00,דהן,גלית,1004,בית ספר דה שליט רחובות,יא1,כיתה יא׳1,2,3,3,2,4,4,1,3,1
STU0008,פיילוט ב,2024-10-11 14:38:00,מזרחי,יעל,1007,תיכון מקיף גבעתיים,יא1,כיתה יא׳1,2,1,4,2,2,3,1,2,3
STU0009,פיילוט ב,2025-02-12 13:07:00,גרוס,עמית,1007,תיכון מקיף גבעתיים,יא1,כיתה יא׳1,3,3,2,3,4,3,3,4,2
STU0010,פיילוט א,2025-01-08 17:12:00,ביטון,ליאור,1003,תיכון הרצליה תל אביב,י2,כיתה י׳2,3,1,3,1,2,2,2,2,2
STU0011,פיילוט ג,2024-11-01 17:05:00,מזרחי,ניר,1003,תיכון הרצליה תל אביב,יא1,כיתה יא׳1,5,4,5,3,4,3,4,4,3
STU0012,פיילוט ג,2024-12-18 11:59:00,בן יוסף,רונית,1002,בית ספר ריאלי חיפה,יב1,כיתה יב׳1,1,1,3,2,2,2,1,3,2
STU0013,פיילוט ג,2024-09-06 17:35:00,שמש,גלית,1005,תיכון עירוני ד׳ תל אביב,י2,כיתה י׳2,2,1,3,2,1,2,1,1,1
STU0014,פיילוט א,2024-11-11 15:13:00,בן יוסף,שירה,1004,בית ספר דה שליט רחובות,ט1,כיתה ט׳1,3,1,1,1,1,3,1,3,1
STU0015,פיילוט ב,2024-09-14 09:03:00,שפירא,אדר,1008,בית ספר עמל פתח תקווה,ט2,כיתה ט׳2,2,1,2,3,3,4,2,3,2
STU0016,פיילוט א,2024-12-23 16:06:00,לוי,יונתן,1002,בית ספר ריאלי חיפה,ט2,כיתה ט׳2,5,4,4,4,4,3,4,4,3
STU0017,פיילוט א,2024-12-09 12:59:00,זיו,גיל,1001,בית ספר אורט נהריה,ט1,כיתה ט׳1,4,4,5,3,5,2,3,5,3
STU0018,פיילוט ג,2025-01-17 08:47:00,ברק,יוסף,1007,תיכון מקיף גבעתיים,יא2,כיתה יא׳2,4,3,3,1,2,4,1,2,3
STU0019,פיילוט ב,2025-02-20 11:25:00,פרץ,גלית,1001,בית ספר אורט נהריה,יא1,כיתה יא׳1,4,1,2,3,2,3,1,4,1
STU0020,פיילוט ג,2024-10-23 13:15:00,דהן,יעל,1004,בית ספר דה שליט רחובות,יא1,כיתה יא׳1,5,3,5,5,5,4,5,5,4
STU0021,פיילוט ג,2025-01-16 11:32:00,דהן,שירה,1003,תיכון הרצליה תל אביב,יא2,כיתה יא׳2,3,2,2,1,3,5,3,2,1
